Time (09/18/2021),Ambient (*F),Object (*F),Ambient (*C),Object (*C)
18:05:53,74.14,72.95,23.41,22.75
18:05:53,74.17,72.99,23.43,22.77
18:05:54,74.17,72.95,23.43,22.75
18:05:54,74.21,72.88,23.45,22.71
18:05:55,74.21,72.99,23.45,22.77
18:05:55,74.21,73.09,23.45,22.83
18:05:56,74.17,72.88,23.43,22.71
18:05:56,74.21,72.99,23.45,22.77
18:05:57,74.17,72.88,23.43,22.71
18:05:57,74.25,73.09,23.47,22.83
